




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6142)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
macromolecule biosynthetic process (GO:0009059)	1680	856	501.02	+	1.71	7.75E-39	4.54E-36
RNA processing (GO:0006396)	930	554	277.35	+	2.00	1.34E-37	7.55E-35
cellular biosynthetic process (GO:0044249)	2715	1224	809.69	+	1.51	5.60E-37	3.05E-34
biosynthetic process (GO:0009058)	2865	1275	854.42	+	1.49	9.33E-37	4.91E-34
organic substance biosynthetic process (GO:1901576)	2803	1252	835.93	+	1.50	1.43E-36	7.30E-34
detection of stimulus (GO:0051606)	721	49	215.02	-	.23	2.95E-36	1.46E-33
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	793	463.15	+	1.71	5.82E-36	2.79E-33
protein metabolic process (GO:0019538)	4203	1722	1253.45	+	1.37	3.11E-35	1.45E-32
cellular component biogenesis (GO:0044085)	2754	1226	821.32	+	1.49	3.39E-35	1.53E-32
organonitrogen compound metabolic process (GO:1901564)	5246	2059	1564.50	+	1.32	1.88E-34	8.23E-32
cellular component organization (GO:0016043)	5783	2218	1724.65	+	1.29	1.06E-32	4.54E-30
sensory perception (GO:0007600)	979	105	291.96	-	.36	5.72E-31	2.38E-28
macromolecule modification (GO:0043412)	3211	1355	957.61	+	1.41	7.88E-31	3.19E-28
cellular process (GO:0009987)	15495	5038	4621.04	+	1.09	1.60E-29	6.32E-27
mRNA metabolic process (GO:0016071)	697	419	207.86	+	2.02	5.02E-29	1.93E-26
regulation of cellular metabolic process (GO:0031323)	6138	2297	1830.52	+	1.25	9.93E-29	3.74E-26
adaptive immune response (GO:0002250)	658	55	196.23	-	.28	8.59E-28	3.16E-25
protein-containing complex subunit organization (GO:0043933)	1605	763	478.66	+	1.59	3.48E-27	1.25E-24
intracellular transport (GO:0046907)	1464	709	436.61	+	1.62	5.88E-27	2.06E-24
system process (GO:0003008)	2057	351	613.45	-	.57	6.70E-27	2.30E-24
nervous system process (GO:0050877)	1416	207	422.29	-	.49	1.00E-26	3.38E-24
cellular macromolecule catabolic process (GO:0044265)	925	500	275.86	+	1.81	1.45E-26	4.77E-24
ribonucleoprotein complex biogenesis (GO:0022613)	462	306	137.78	+	2.22	2.84E-26	9.17E-24
protein modification process (GO:0036211)	2985	1240	890.21	+	1.39	9.79E-26	3.03E-23
cellular protein modification process (GO:0006464)	2985	1240	890.21	+	1.39	9.79E-26	3.10E-23
regulation of primary metabolic process (GO:0080090)	5925	2201	1767.00	+	1.25	1.34E-25	4.08E-23
macromolecule catabolic process (GO:0009057)	1058	546	315.52	+	1.73	2.11E-25	6.29E-23
regulation of metabolic process (GO:0019222)	6874	2497	2050.02	+	1.22	2.44E-25	7.13E-23
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2136	1711.83	+	1.25	7.19E-25	2.07E-22
protein localization (GO:0008104)	2063	910	615.24	+	1.48	2.29E-24	6.36E-22
ncRNA metabolic process (GO:0034660)	521	324	155.38	+	2.09	2.28E-24	6.43E-22
chromosome organization (GO:0051276)	1064	541	317.31	+	1.70	5.35E-24	1.46E-21
macromolecule localization (GO:0033036)	2496	1056	744.38	+	1.42	1.16E-23	3.10E-21
cellular response to stress (GO:0033554)	1741	790	519.21	+	1.52	1.23E-23	3.23E-21
cellular component assembly (GO:0022607)	2494	1055	743.78	+	1.42	1.37E-23	3.55E-21
establishment of protein localization (GO:0045184)	1397	663	416.62	+	1.59	2.04E-23	5.21E-21
regulation of macromolecule metabolic process (GO:0060255)	6340	2310	1890.76	+	1.22	2.81E-23	7.04E-21
ncRNA processing (GO:0034470)	436	282	130.03	+	2.17	4.08E-23	1.01E-20
cellular localization (GO:0051641)	2985	1217	890.21	+	1.37	8.52E-23	2.07E-20
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1542	1183.37	+	1.30	1.74E-22	4.17E-20
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1552	1192.61	+	1.30	1.90E-22	4.48E-20
regulation of cellular biosynthetic process (GO:0031326)	4163	1602	1241.52	+	1.29	4.29E-22	9.97E-20
translation (GO:0006412)	387	256	115.41	+	2.22	5.38E-22	1.23E-19
Unclassified (UNCLASSIFIED)	2744	544	818.34	-	.66	5.81E-22	1.29E-19
biological_process (GO:0008150)	17851	5598	5323.66	+	1.05	5.81E-22	1.31E-19
cellular catabolic process (GO:0044248)	1812	803	540.39	+	1.49	7.90E-22	1.73E-19
regulation of biosynthetic process (GO:0009889)	4226	1620	1260.31	+	1.29	8.19E-22	1.77E-19
protein transport (GO:0015031)	1300	616	387.70	+	1.59	1.38E-21	2.94E-19
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1559	1207.52	+	1.29	1.87E-21	3.94E-19
peptide biosynthetic process (GO:0043043)	414	265	123.47	+	2.15	2.83E-21	5.89E-19
cellular macromolecule localization (GO:0070727)	1480	679	441.38	+	1.54	4.07E-21	8.36E-19
protein-containing complex assembly (GO:0065003)	1358	632	404.99	+	1.56	9.02E-21	1.83E-18
cell cycle (GO:0007049)	1316	615	392.47	+	1.57	1.68E-20	3.36E-18
cellular protein localization (GO:0034613)	1470	671	438.39	+	1.53	1.74E-20	3.43E-18
nitrogen compound transport (GO:0071705)	1708	754	509.37	+	1.48	4.21E-20	8.22E-18
ribosome biogenesis (GO:0042254)	329	222	98.12	+	2.26	5.43E-20	1.05E-17
cellular protein-containing complex assembly (GO:0034622)	867	442	258.56	+	1.71	7.47E-20	1.42E-17
cellular response to DNA damage stimulus (GO:0006974)	793	413	236.49	+	1.75	8.91E-20	1.68E-17
amide biosynthetic process (GO:0043604)	537	309	160.15	+	1.93	1.87E-19	3.47E-17
humoral immune response (GO:0006959)	386	27	115.12	-	.23	2.78E-19	5.11E-17
protein localization to organelle (GO:0033365)	742	390	221.28	+	1.76	3.65E-19	6.63E-17
heterocycle biosynthetic process (GO:0018130)	1049	507	312.84	+	1.62	4.37E-19	7.86E-17
regulation of cell cycle (GO:0051726)	1164	548	347.14	+	1.58	8.04E-19	1.43E-16
catabolic process (GO:0009056)	2096	880	625.09	+	1.41	8.75E-19	1.54E-16
establishment of localization in cell (GO:0051649)	2335	961	696.36	+	1.38	1.39E-18	2.42E-16
defense response (GO:0006952)	1426	245	425.27	-	.58	2.84E-18	4.88E-16
nucleobase-containing compound biosynthetic process (GO:0034654)	975	474	290.77	+	1.63	2.91E-18	4.95E-16
mRNA processing (GO:0006397)	486	282	144.94	+	1.95	3.11E-18	5.22E-16
regulation of gene expression (GO:0010468)	4922	1809	1467.88	+	1.23	3.80E-18	6.32E-16
organonitrogen compound biosynthetic process (GO:1901566)	1379	621	411.26	+	1.51	5.11E-18	8.42E-16
intracellular protein transport (GO:0006886)	781	398	232.92	+	1.71	6.49E-18	1.06E-15
posttranscriptional regulation of gene expression (GO:0010608)	581	319	173.27	+	1.84	6.86E-18	1.11E-15
regulation of RNA metabolic process (GO:0051252)	3782	1438	1127.90	+	1.27	7.16E-18	1.14E-15
aromatic compound biosynthetic process (GO:0019438)	1060	503	316.12	+	1.59	8.51E-18	1.34E-15
organic substance catabolic process (GO:1901575)	1769	758	527.56	+	1.44	1.01E-17	1.59E-15
peptide metabolic process (GO:0006518)	544	303	162.24	+	1.87	1.28E-17	1.99E-15
rRNA processing (GO:0006364)	262	181	78.14	+	2.32	2.77E-17	4.26E-15
immune response (GO:0006955)	2075	407	618.82	-	.66	3.18E-17	4.83E-15
rRNA metabolic process (GO:0016072)	272	185	81.12	+	2.28	5.02E-17	7.56E-15
protein modification by small protein conjugation or removal (GO:0070647)	1035	488	308.67	+	1.58	6.83E-17	1.02E-14
positive regulation of cellular metabolic process (GO:0031325)	3314	1270	988.33	+	1.29	1.92E-16	2.84E-14
RNA splicing (GO:0008380)	409	241	121.98	+	1.98	2.35E-16	3.43E-14
mitotic cell cycle (GO:0000278)	750	377	223.67	+	1.69	2.62E-16	3.80E-14
defense response to bacterium (GO:0042742)	350	27	104.38	-	.26	2.97E-16	4.26E-14
DNA metabolic process (GO:0006259)	777	387	231.72	+	1.67	3.08E-16	4.38E-14
regulation of catabolic process (GO:0009894)	1066	495	317.91	+	1.56	3.41E-16	4.81E-14
chromatin organization (GO:0006325)	703	358	209.65	+	1.71	4.16E-16	5.82E-14
RNA biosynthetic process (GO:0032774)	543	293	161.94	+	1.81	8.93E-16	1.24E-13
nucleic acid-templated transcription (GO:0097659)	531	288	158.36	+	1.82	9.34E-16	1.28E-13
cellular amide metabolic process (GO:0043603)	820	400	244.55	+	1.64	1.07E-15	1.45E-13
transcription, DNA-templated (GO:0006351)	530	287	158.06	+	1.82	1.22E-15	1.65E-13
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1199	931.37	+	1.29	1.36E-15	1.83E-13
organic cyclic compound biosynthetic process (GO:1901362)	1196	537	356.68	+	1.51	2.01E-15	2.67E-13
regulation of cellular catabolic process (GO:0031329)	899	426	268.11	+	1.59	4.45E-15	5.87E-13
DNA repair (GO:0006281)	531	285	158.36	+	1.80	4.56E-15	5.96E-13
keratinization (GO:0031424)	227	11	67.70	-	.16	6.79E-15	8.65E-13
signaling (GO:0023052)	5565	1358	1659.64	-	.82	6.75E-15	8.68E-13
cell cycle process (GO:0022402)	957	446	285.40	+	1.56	6.71E-15	8.70E-13
protein catabolic process (GO:0030163)	697	348	207.86	+	1.67	7.78E-15	9.84E-13
positive regulation of metabolic process (GO:0009893)	3820	1418	1139.23	+	1.24	8.86E-15	1.11E-12
cellular protein catabolic process (GO:0044257)	644	327	192.06	+	1.70	9.87E-15	1.22E-12
RNA splicing, via transesterification reactions (GO:0000375)	306	190	91.26	+	2.08	9.86E-15	1.23E-12
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	189	90.36	+	2.09	1.09E-14	1.32E-12
mRNA splicing, via spliceosome (GO:0000398)	303	189	90.36	+	2.09	1.09E-14	1.33E-12
complement activation (GO:0006956)	177	5	52.79	-	.09	1.31E-14	1.58E-12
regulation of cell cycle process (GO:0010564)	792	383	236.20	+	1.62	1.35E-14	1.62E-12
mitotic cell cycle process (GO:1903047)	675	338	201.30	+	1.68	1.41E-14	1.67E-12
regulation of translation (GO:0006417)	415	235	123.76	+	1.90	1.69E-14	1.99E-12
modification-dependent macromolecule catabolic process (GO:0043632)	563	293	167.90	+	1.75	2.78E-14	3.25E-12
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	311	181.62	+	1.71	3.26E-14	3.79E-12
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1315	1050.36	+	1.25	3.45E-14	3.98E-12
negative regulation of metabolic process (GO:0009892)	3095	1175	923.01	+	1.27	3.74E-14	4.29E-12
organic substance transport (GO:0071702)	2079	834	620.02	+	1.35	5.27E-14	6.00E-12
establishment of protein localization to organelle (GO:0072594)	394	224	117.50	+	1.91	5.34E-14	6.03E-12
protein modification by small protein conjugation (GO:0032446)	822	390	245.14	+	1.59	5.81E-14	6.51E-12
defense response to other organism (GO:0098542)	1038	176	309.56	-	.57	6.03E-14	6.66E-12
RNA catabolic process (GO:0006401)	248	162	73.96	+	2.19	6.01E-14	6.69E-12
response to bacterium (GO:0009617)	721	106	215.02	-	.49	7.50E-14	8.24E-12
ubiquitin-dependent protein catabolic process (GO:0006511)	545	284	162.53	+	1.75	7.64E-14	8.32E-12
modification-dependent protein catabolic process (GO:0019941)	552	286	164.62	+	1.74	1.04E-13	1.12E-11
regulation of cellular amide metabolic process (GO:0034248)	479	257	142.85	+	1.80	1.05E-13	1.13E-11
cell communication (GO:0007154)	5656	1397	1686.78	-	.83	1.10E-13	1.18E-11
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	137	58.15	+	2.36	1.14E-13	1.21E-11
viral process (GO:0016032)	444	242	132.41	+	1.83	1.67E-13	1.76E-11
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1096	858.90	+	1.28	2.42E-13	2.53E-11
mRNA catabolic process (GO:0006402)	215	144	64.12	+	2.25	2.77E-13	2.88E-11
complement activation, classical pathway (GO:0006958)	161	5	48.01	-	.10	6.27E-13	6.47E-11
peptidyl-amino acid modification (GO:0018193)	886	407	264.23	+	1.54	7.00E-13	7.18E-11
protein targeting (GO:0006605)	322	188	96.03	+	1.96	9.39E-13	9.58E-11
regulation of mitotic cell cycle (GO:0007346)	588	294	175.36	+	1.68	1.04E-12	1.06E-10
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	6	49.21	-	.12	1.58E-12	1.59E-10
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	774	578.86	+	1.34	1.62E-12	1.62E-10
mitochondrion organization (GO:0007005)	468	246	139.57	+	1.76	1.91E-12	1.90E-10
response to external biotic stimulus (GO:0043207)	1426	277	425.27	-	.65	2.29E-12	2.25E-10
response to other organism (GO:0051707)	1425	277	424.97	-	.65	2.28E-12	2.25E-10
negative regulation of cellular metabolic process (GO:0031324)	2613	996	779.27	+	1.28	3.27E-12	3.20E-10
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1277	1036.34	+	1.23	3.74E-12	3.62E-10
regulation of transcription, DNA-templated (GO:0006355)	3474	1276	1036.04	+	1.23	4.24E-12	4.09E-10
ribonucleoprotein complex subunit organization (GO:0071826)	196	131	58.45	+	2.24	4.43E-12	4.24E-10
establishment of protein localization to membrane (GO:0090150)	313	181	93.35	+	1.94	4.51E-12	4.30E-10
regulation of RNA biosynthetic process (GO:2001141)	3480	1277	1037.83	+	1.23	5.01E-12	4.74E-10
innate immune response (GO:0045087)	848	142	252.90	-	.56	5.80E-12	5.46E-10
regulation of cell cycle phase transition (GO:1901987)	522	264	155.67	+	1.70	5.86E-12	5.48E-10
translational initiation (GO:0006413)	143	106	42.65	+	2.49	6.09E-12	5.66E-10
regulation of mitotic cell cycle phase transition (GO:1901990)	434	229	129.43	+	1.77	8.53E-12	7.89E-10
nucleobase-containing compound catabolic process (GO:0034655)	373	204	111.24	+	1.83	9.87E-12	9.07E-10
signal transduction (GO:0007165)	5227	1300	1558.84	-	.83	9.96E-12	9.10E-10
viral gene expression (GO:0019080)	172	118	51.30	+	2.30	1.30E-11	1.18E-09
protein ubiquitination (GO:0016567)	746	346	222.48	+	1.56	1.50E-11	1.36E-09
regulation of mRNA metabolic process (GO:1903311)	376	204	112.13	+	1.82	1.62E-11	1.46E-09
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	935	731.55	+	1.28	1.85E-11	1.65E-09
ribonucleoprotein complex assembly (GO:0022618)	189	125	56.37	+	2.22	1.97E-11	1.75E-09
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	735	555.60	+	1.32	3.20E-11	2.83E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	338	186	100.80	+	1.85	5.55E-11	4.87E-09
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	626	462.55	+	1.35	6.81E-11	5.94E-09
proteasomal protein catabolic process (GO:0010498)	361	195	107.66	+	1.81	6.93E-11	6.02E-09
transcription by RNA polymerase II (GO:0006366)	382	203	113.92	+	1.78	7.66E-11	6.62E-09
cytoplasmic translation (GO:0002181)	122	92	36.38	+	2.53	7.91E-11	6.79E-09
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	621	459.27	+	1.35	8.47E-11	7.24E-09
mitochondrial gene expression (GO:0140053)	142	101	42.35	+	2.38	9.66E-11	8.21E-09
cell division (GO:0051301)	498	247	148.52	+	1.66	1.22E-10	1.03E-08
regulation of protein metabolic process (GO:0051246)	2665	996	794.78	+	1.25	1.23E-10	1.03E-08
peptidyl-lysine modification (GO:0018205)	305	171	90.96	+	1.88	1.23E-10	1.04E-08
viral transcription (GO:0019083)	116	88	34.59	+	2.54	1.56E-10	1.30E-08
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	90	35.79	+	2.51	1.60E-10	1.33E-08
positive regulation of cellular biosynthetic process (GO:0031328)	1969	764	587.21	+	1.30	1.63E-10	1.34E-08
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	614	455.69	+	1.35	1.73E-10	1.42E-08
protein targeting to membrane (GO:0006612)	182	118	54.28	+	2.17	1.89E-10	1.54E-08
positive regulation of RNA metabolic process (GO:0051254)	1773	697	528.76	+	1.32	2.00E-10	1.62E-08
regulation of cellular protein metabolic process (GO:0032268)	2501	939	745.87	+	1.26	2.20E-10	1.78E-08
negative regulation of cellular biosynthetic process (GO:0031327)	1610	641	480.15	+	1.34	2.22E-10	1.78E-08
negative regulation of biosynthetic process (GO:0009890)	1643	652	489.99	+	1.33	2.28E-10	1.82E-08
organelle assembly (GO:0070925)	796	355	237.39	+	1.50	3.24E-10	2.57E-08
protein targeting to ER (GO:0045047)	112	85	33.40	+	2.54	3.83E-10	3.03E-08
tRNA metabolic process (GO:0006399)	190	120	56.66	+	2.12	4.01E-10	3.15E-08
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	87	34.59	+	2.51	4.13E-10	3.22E-08
multicellular organismal process (GO:0032501)	6926	1805	2065.53	-	.87	4.12E-10	3.23E-08
positive regulation of biosynthetic process (GO:0009891)	2004	771	597.65	+	1.29	4.68E-10	3.63E-08
regulation of inflammatory response (GO:0050727)	518	77	154.48	-	.50	5.60E-10	4.32E-08
cellular nitrogen compound catabolic process (GO:0044270)	423	214	126.15	+	1.70	6.23E-10	4.78E-08
positive regulation of cellular process (GO:0048522)	5741	1964	1712.13	+	1.15	6.34E-10	4.84E-08
heterocycle catabolic process (GO:0046700)	417	212	124.36	+	1.70	6.45E-10	4.90E-08
organonitrogen compound catabolic process (GO:1901565)	1091	458	325.37	+	1.41	6.56E-10	4.92E-08
negative regulation of cell cycle (GO:0045786)	454	226	135.40	+	1.67	6.56E-10	4.94E-08
translational elongation (GO:0006414)	127	91	37.87	+	2.40	6.53E-10	4.94E-08
aromatic compound catabolic process (GO:0019439)	438	219	130.62	+	1.68	8.43E-10	6.26E-08
response to biotic stimulus (GO:0009607)	1547	325	461.36	-	.70	8.43E-10	6.29E-08
protein localization to endoplasmic reticulum (GO:0070972)	143	98	42.65	+	2.30	1.03E-09	7.61E-08
covalent chromatin modification (GO:0016569)	367	190	109.45	+	1.74	1.51E-09	1.11E-07
histone modification (GO:0016570)	363	188	108.26	+	1.74	1.73E-09	1.26E-07
cotranslational protein targeting to membrane (GO:0006613)	101	77	30.12	+	2.56	1.76E-09	1.28E-07
negative regulation of inflammatory response (GO:0050728)	320	38	95.43	-	.40	1.90E-09	1.37E-07
nuclear transport (GO:0051169)	264	147	78.73	+	1.87	3.60E-09	2.60E-07
response to external stimulus (GO:0009605)	2525	587	753.03	-	.78	3.66E-09	2.62E-07
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	74	28.63	+	2.58	3.65E-09	2.62E-07
phagocytosis, recognition (GO:0006910)	106	3	31.61	-	.09	3.76E-09	2.66E-07
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	18	62.03	-	.29	3.76E-09	2.67E-07
negative regulation of cell cycle process (GO:0010948)	368	188	109.75	+	1.71	3.85E-09	2.72E-07
negative regulation of gene expression (GO:0010629)	999	419	297.93	+	1.41	3.99E-09	2.80E-07
regulation of organelle organization (GO:0033043)	1208	492	360.26	+	1.37	4.08E-09	2.85E-07
biological adhesion (GO:0022610)	959	183	286.00	-	.64	4.15E-09	2.89E-07
protein-containing complex disassembly (GO:0032984)	228	132	68.00	+	1.94	4.52E-09	3.13E-07
cell adhesion (GO:0007155)	953	183	284.21	-	.64	5.99E-09	4.14E-07
B cell receptor signaling pathway (GO:0050853)	129	6	38.47	-	.16	6.35E-09	4.37E-07
macromolecule methylation (GO:0043414)	257	143	76.64	+	1.87	6.58E-09	4.48E-07
localization within membrane (GO:0051668)	615	280	183.41	+	1.53	6.57E-09	4.50E-07
methylation (GO:0032259)	313	165	93.35	+	1.77	6.81E-09	4.62E-07
nucleocytoplasmic transport (GO:0006913)	261	144	77.84	+	1.85	8.26E-09	5.58E-07
negative regulation of RNA metabolic process (GO:0051253)	1408	557	419.90	+	1.33	9.03E-09	6.05E-07
opsonization (GO:0008228)	72	0	21.47	-	 < 0.01	9.02E-09	6.06E-07
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	12	49.80	-	.24	9.86E-09	6.57E-07
organic cyclic compound catabolic process (GO:1901361)	466	223	138.97	+	1.60	1.10E-08	7.28E-07
inflammatory response (GO:0006954)	498	78	148.52	-	.53	1.26E-08	8.32E-07
negative regulation of response to external stimulus (GO:0032102)	559	92	166.71	-	.55	1.31E-08	8.60E-07
B cell mediated immunity (GO:0019724)	205	19	61.14	-	.31	1.51E-08	9.89E-07
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	22	66.21	-	.33	1.56E-08	1.02E-06
keratinocyte differentiation (GO:0030216)	270	31	80.52	-	.38	1.68E-08	1.09E-06
lymphocyte mediated immunity (GO:0002449)	259	29	77.24	-	.38	1.83E-08	1.19E-06
protein-DNA complex subunit organization (GO:0071824)	296	156	88.28	+	1.77	1.91E-08	1.23E-06
regulation of cellular component organization (GO:0051128)	2390	880	712.76	+	1.23	1.93E-08	1.24E-06
regulation of immune response (GO:0050776)	1183	244	352.80	-	.69	2.50E-08	1.60E-06
regulation of RNA stability (GO:0043487)	253	138	75.45	+	1.83	2.78E-08	1.77E-06
cell recognition (GO:0008037)	241	26	71.87	-	.36	2.82E-08	1.79E-06
mitochondrial translation (GO:0032543)	112	78	33.40	+	2.34	2.85E-08	1.80E-06
immunoglobulin mediated immune response (GO:0016064)	201	19	59.94	-	.32	2.96E-08	1.87E-06
process utilizing autophagic mechanism (GO:0061919)	309	160	92.15	+	1.74	3.39E-08	2.12E-06
autophagy (GO:0006914)	309	160	92.15	+	1.74	3.39E-08	2.13E-06
protein localization to membrane (GO:0072657)	542	248	161.64	+	1.53	3.48E-08	2.17E-06
regulation of mRNA catabolic process (GO:0061013)	252	137	75.15	+	1.82	3.64E-08	2.26E-06
immune system process (GO:0002376)	2903	700	865.76	-	.81	3.87E-08	2.39E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	32	80.22	-	.40	3.92E-08	2.41E-06
negative regulation of cellular process (GO:0048523)	4902	1675	1461.91	+	1.15	4.07E-08	2.49E-06
nuclear export (GO:0051168)	166	101	49.51	+	2.04	4.40E-08	2.68E-06
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	156	89.77	+	1.74	4.39E-08	2.68E-06
regulation of mRNA stability (GO:0043488)	241	132	71.87	+	1.84	5.35E-08	3.24E-06
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	352	475.08	-	.74	6.31E-08	3.81E-06
tRNA processing (GO:0008033)	134	86	39.96	+	2.15	7.50E-08	4.51E-06
negative regulation of cell cycle phase transition (GO:1901988)	294	152	87.68	+	1.73	7.83E-08	4.69E-06
regulation of immune effector process (GO:0002697)	435	68	129.73	-	.52	9.95E-08	5.93E-06
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	31	76.94	-	.40	1.02E-07	6.04E-06
negative regulation of mitotic cell cycle (GO:0045930)	294	151	87.68	+	1.72	1.07E-07	6.35E-06
protein-containing complex localization (GO:0031503)	259	137	77.24	+	1.77	1.33E-07	7.84E-06
regulation of cellular response to stress (GO:0080135)	692	298	206.37	+	1.44	1.51E-07	8.89E-06
RNA localization (GO:0006403)	212	118	63.22	+	1.87	1.53E-07	8.94E-06
negative regulation of translation (GO:0017148)	184	106	54.87	+	1.93	1.58E-07	9.22E-06
regulation of chromosome organization (GO:0033044)	290	149	86.49	+	1.72	1.60E-07	9.25E-06
mitotic nuclear division (GO:0140014)	201	113	59.94	+	1.89	1.60E-07	9.28E-06
phagocytosis, engulfment (GO:0006911)	132	9	39.37	-	.23	1.81E-07	1.04E-05
DNA replication (GO:0006260)	273	142	81.42	+	1.74	1.87E-07	1.07E-05
leukocyte migration (GO:0050900)	379	57	113.03	-	.50	2.01E-07	1.15E-05
positive regulation of biological process (GO:0048518)	6331	2104	1888.08	+	1.11	2.24E-07	1.28E-05
negative regulation of mitotic cell cycle phase transition (GO:1901991)	240	128	71.57	+	1.79	2.52E-07	1.43E-05
